"country","name","continent","year","lifeExp","pop","gdpPercap"
"80","bfa","Burkina Faso","Africa",1965-01-01,41.95,5174874,290.18957
"81","bfa","Burkina Faso","Africa",1970-01-01,44.06,5624592,307.53584
"82","bfa","Burkina Faso","Africa",1975-01-01,46.04,6154554,326.70905
"83","bfa","Burkina Faso","Africa",1980-01-01,48.64,6822837,350.92105
"84","bfa","Burkina Faso","Africa",1985-01-01,50.64,7727908,378.50907
"85","bfa","Burkina Faso","Africa",1990-01-01,50.67,8811033,384.0685
"86","bfa","Burkina Faso","Africa",1995-01-01,50.66,10089880,406.31099
"87","bfa","Burkina Faso","Africa",2000-01-01,52.48,11607951,489.45498
"88","bfa","Burkina Faso","Africa",2005-01-01,55.3,13421935,576.37153
"89","bfa","Burkina Faso","Africa",2010-01-01,57.94,15605211,647.8361
"90","bfa","Burkina Faso","Africa",2015-01-01,59.9,18110616,726.71283
"91","bfa","Burkina Faso","Africa",2019-01-01,61.67,20321383,822.20371
"92","bgd","Bangladesh","Asia",1960-01-01,43.82,48013505,372.03174
"93","bgd","Bangladesh","Asia",1965-01-01,45.87,55385114,404.7881
"94","bgd","Bangladesh","Asia",1970-01-01,42.2,64232486,411.18439
"95","bgd","Bangladesh","Asia",1975-01-01,50.62,70066310,332.88806
"96","bgd","Bangladesh","Asia",1980-01-01,53.22,79639498,359.45627
"97","bgd","Bangladesh","Asia",1985-01-01,53.75,90764180,388.64434
"98","bgd","Bangladesh","Asia",1990-01-01,58.19,103171957,411.16466
"99","bgd","Bangladesh","Asia",1995-01-01,62.24,115169933,459.61342
"100","bgd","Bangladesh","Asia",2000-01-01,65.47,127657862,524.94591
"101","bgd","Bangladesh","Asia",2005-01-01,67.44,139035505,617.54275
"102","bgd","Bangladesh","Asia",2010-01-01,70.04,147575433,781.15358
"103","bgd","Bangladesh","Asia",2015-01-01,73.59,156256287,1002.3888
"104","bgd","Bangladesh","Asia",2019-01-01,74.55,163046173,1287.8215
"105","bhs","Bahamas","Americas",1960-01-01,61.93,109532,17734.97694
"106","bhs","Bahamas","Americas",1965-01-01,63.28,140060,22863.59505
"107","bhs","Bahamas","Americas",1970-01-01,65.4,169376,25196.27015
"108","bhs","Bahamas","Americas",1975-01-01,68.21,188895,16903.67625
"109","bhs","Bahamas","Americas",1980-01-01,68.62,210589,26701.32769
"110","bhs","Bahamas","Americas",1985-01-01,70.21,234579,28786.23276
"111","bhs","Bahamas","Americas",1990-01-01,70.86,256227,29686.578
"112","bhs","Bahamas","Americas",1995-01-01,70.77,280179,27018.95783
"113","bhs","Bahamas","Americas",2000-01-01,71.25,298045,31571.38199
"114","bhs","Bahamas","Americas",2005-01-01,73.18,324848,31443.43554
"115","bhs","Bahamas","Americas",2010-01-01,73.24,354936,28443.88848
"116","bhs","Bahamas","Americas",2015-01-01,73.35,374200,27583.85102
"117","bhs","Bahamas","Americas",2019-01-01,73.36,389486,28908.25169
"118","blz","Belize","Americas",1960-01-01,63.93,92068,1079.32252
"119","blz","Belize","Americas",1965-01-01,66.43,106120,1191.38209
"120","blz","Belize","Americas",1970-01-01,67.51,122184,1345.23508
"121","blz","Belize","Americas",1975-01-01,69.56,133264,1751.51833
"122","blz","Belize","Americas",1980-01-01,70.87,144142,2269.13772
"123","blz","Belize","Americas",1985-01-01,72.08,164918,2019.57041
"124","blz","Belize","Americas",1990-01-01,72.79,187554,2842.42487
"125","blz","Belize","Americas",1995-01-01,72.9,206962,3446.79432
"126","blz","Belize","Americas",2000-01-01,69.98,247310,3863.6802
"127","blz","Belize","Americas",2005-01-01,72.43,283798,4311.28628
"128","blz","Belize","Americas",2010-01-01,73.58,322465,4270.78003
"129","blz","Belize","Americas",2015-01-01,74.19,360926,4308.19014
"130","blz","Belize","Americas",2019-01-01,74.46,390351,4245.74393
"131","bol","Bolivia","Americas",1960-01-01,43,3656961,1005.40682
"132","bol","Bolivia","Americas",1965-01-01,46.17,4038865,1142.89154
"133","bol","Bolivia","Americas",1970-01-01,50.09,4484004,1399.51519
"134","bol","Bolivia","Americas",1975-01-01,53.66,5001413,1662.4844
"135","bol","Bolivia","Americas",1980-01-01,56.76,5579932,1649.25646
"136","bol","Bolivia","Americas",1985-01-01,59.14,6179460,1350.75407
"137","bol","Bolivia","Americas",1990-01-01,61.69,6864839,1356.54049
"138","bol","Bolivia","Americas",1995-01-01,64.02,7622334,1493.4192
"139","bol","Bolivia","Americas",2000-01-01,66.53,8418270,1601.41547
"140","bol","Bolivia","Americas",2005-01-01,68.97,9232301,1700.18366
"141","bol","Bolivia","Americas",2010-01-01,70.3,10048597,1955.46018
"142","bol","Bolivia","Americas",2015-01-01,71.3,10869732,2361.0561
"143","bol","Bolivia","Americas",2019-01-01,72.01,11513102,2579.89856
"144","bra","Brazil","Americas",1960-01-01,52.44,72179235,3417.35202
"145","bra","Brazil","Americas",1965-01-01,54.83,83373533,3692.84566
"146","bra","Brazil","Americas",1970-01-01,56.94,95113265,4704.31756
"147","bra","Brazil","Americas",1975-01-01,59.78,107216209,6805.29803
"148","bra","Brazil","Americas",1980-01-01,62.74,120694012,8349.48761
"149","bra","Brazil","Americas",1985-01-01,64.61,135274083,7862.70334
"150","bra","Brazil","Americas",1990-01-01,67.29,149003225,7983.74667
"151","bra","Brazil","Americas",1995-01-01,69.17,162019889,8540.07725
"152","bra","Brazil","Americas",2000-01-01,71.18,174790339,8803.15258
"153","bra","Brazil","Americas",2005-01-01,72.81,186127108,9535.41857
"154","bra","Brazil","Americas",2010-01-01,73.85,195713637,11286.2429
"155","bra","Brazil","Americas",2015-01-01,75.03,204471759,11431.15504
"156","bra","Brazil","Americas",2019-01-01,75.85,211049519,11203.27495
"157","bwa","Botswana","Africa",1960-01-01,54.36,502733,407.79204
"158","bwa","Botswana","Africa",1965-01-01,55.08,559996,497.23055
"159","bwa","Botswana","Africa",1970-01-01,56.49,627714,744.92419
"160","bwa","Botswana","Africa",1975-01-01,59.14,741346,1435.25666
"161","bwa","Botswana","Africa",1980-01-01,60.98,897860,2109.01472
"162","bwa","Botswana","Africa",1985-01-01,62.49,1069585,2849.45947
"163","bwa","Botswana","Africa",1990-01-01,61.32,1286756,4133.45831
"164","bwa","Botswana","Africa",1995-01-01,52.5,1469173,4525.77168
"165","bwa","Botswana","Africa",2000-01-01,45.52,1643333,5211.07698
"166","bwa","Botswana","Africa",2005-01-01,49.93,1799077,5686.7838
"167","bwa","Botswana","Africa",2010-01-01,56.98,1987106,6434.81249
"168","bwa","Botswana","Africa",2015-01-01,60.62,2120716,7613.69852
"169","bwa","Botswana","Africa",2019-01-01,62.25,2303703,8097.64495
"170","caf","Central African Republic","Africa",1960-01-01,45.76,1501668,599.70062
"171","caf","Central African Republic","Africa",1965-01-01,47.28,1639706,567.8847
"172","caf","Central African Republic","Africa",1970-01-01,48.12,1811157,601.91745
"173","caf","Central African Republic","Africa",1975-01-01,48.44,1958367,612.42244
"174","caf","Central African Republic","Africa",1980-01-01,49.17,2199359,562.76567
"175","caf","Central African Republic","Africa",1985-01-01,49.5,2542170,539.75883
"176","caf","Central African Republic","Africa",1990-01-01,48.09,2806740,488.55288
"177","caf","Central African Republic","Africa",1995-01-01,44.69,3222662,446.76659
"178","caf","Central African Republic","Africa",2000-01-01,43.79,3640421,422.86464
"179","caf","Central African Republic","Africa",2005-01-01,45.21,4038380,417.50214
"180","caf","Central African Republic","Africa",2010-01-01,47.81,4386765,488.42177
"181","caf","Central African Republic","Africa",2015-01-01,49.67,4493171,346.69375
"182","caf","Central African Republic","Africa",2019-01-01,52.35,4745179,384.25697
"183","chl","Chile","Americas",1960-01-01,54.2,8132988,3611.9188
"184","chl","Chile","Americas",1965-01-01,58.7,8989607,3920.2964
"185","chl","Chile","Americas",1970-01-01,61.99,9783134,4552.25559
"186","chl","Chile","Americas",1975-01-01,66.15,10592310,3856.03475
"187","chl","Chile","Americas",1980-01-01,69.44,11419350,5172.03484
"188","chl","Chile","Americas",1985-01-01,71.95,12257238,4697.51589
"189","chl","Chile","Americas",1990-01-01,73.43,13274617,5933.20975
"190","chl","Chile","Americas",1995-01-01,75.28,14380864,8004.31656
"191","chl","Chile","Americas",2000-01-01,76.93,15342350,9419.98479
"192","chl","Chile","Americas",2005-01-01,77.89,16182713,11225.0855
"193","chl","Chile","Americas",2010-01-01,78.61,17062531,12808.03834
"194","chl","Chile","Americas",2015-01-01,79.63,17969356,14722.36387
"195","chl","Chile","Americas",2019-01-01,80.16,18952035,15039.91634
"196","chn","China","Asia",1960-01-01,27.79,660408054,191.9572
"197","chn","China","Asia",1965-01-01,58.47,724218970,187.43675
"198","chn","China","Asia",1970-01-01,60.88,827601385,228.51535
"199","chn","China","Asia",1975-01-01,62.81,926240889,271.83459
"200","chn","China","Asia",1980-01-01,64.41,1000089228,347.18673
"201","chn","China","Asia",1985-01-01,66.59,1075589363,537.57751
"202","chn","China","Asia",1990-01-01,68.09,1176883681,729.28239
"203","chn","China","Asia",1995-01-01,69.75,1240920539,1224.85189
"204","chn","China","Asia",2000-01-01,71.33,1290550767,1767.85963
"205","chn","China","Asia",2005-01-01,72.98,1330776380,2732.26618
"206","chn","China","Asia",2010-01-01,74.92,1368810604,4550.45311
"207","chn","China","Asia",2015-01-01,76.77,1406847868,6500.41832
"208","chn","China","Asia",2019-01-01,77.59,1433783692,8242.05464
"209","civ","Cote d'Ivoire","Africa",1960-01-01,45.61,3503559,1225.52319
"210","civ","Cote d'Ivoire","Africa",1965-01-01,48.35,4226843,1474.83209
"211","civ","Cote d'Ivoire","Africa",1970-01-01,50.93,5102070,1940.40148
"212","civ","Cote d'Ivoire","Africa",1975-01-01,53.98,6412409,2107.52972
"213","civ","Cote d'Ivoire","Africa",1980-01-01,56.72,8033652,2061.28644
"214","civ","Cote d'Ivoire","Africa",1985-01-01,57.38,9918204,1691.93214
"215","civ","Cote d'Ivoire","Africa",1990-01-01,55.74,11924873,1491.12283
"216","civ","Cote d'Ivoire","Africa",1995-01-01,51.7,14199759,1346.9963
"217","civ","Cote d'Ivoire","Africa",2000-01-01,51.13,16454660,1356.58649
"218","civ","Cote d'Ivoire","Africa",2005-01-01,53.46,18354513,1216.18714
"219","civ","Cote d'Ivoire","Africa",2010-01-01,57.39,20532944,1213.113
"220","civ","Cote d'Ivoire","Africa",2015-01-01,61.07,23226148,1463.71021
"221","civ","Cote d'Ivoire","Africa",2019-01-01,64.25,25716554,1727.28302
"222","cmr","Cameroon","Africa",1960-01-01,27.54,5176920,957.26854
"223","cmr","Cameroon","Africa",1965-01-01,49.55,5773538,980.82676
"224","cmr","Cameroon","Africa",1970-01-01,51.54,6519754,930.99026
"225","cmr","Cameroon","Africa",1975-01-01,53.56,7451057,1123.29591
"226","cmr","Cameroon","Africa",1980-01-01,55.39,8621409,1323.42951
"227","cmr","Cameroon","Africa",1985-01-01,57.71,10070806,1770.14051
"228","cmr","Cameroon","Africa",1990-01-01,58.43,11780086,1343.51019
"229","cmr","Cameroon","Africa",1995-01-01,56.64,13599984,1055.26261
"230","cmr","Cameroon","Africa",2000-01-01,54.47,15513944,1146.57238
"231","cmr","Cameroon","Africa",2005-01-01,54.99,17733408,1243.0808
"232","cmr","Cameroon","Africa",2010-01-01,57.7,20341236,1286.51589
"233","cmr","Cameroon","Africa",2015-01-01,60.05,23298376,1441.78348
"234","cmr","Cameroon","Africa",2019-01-01,63.35,25876387,1518.31174
"235","cod","Congo, Dem. Rep.","Africa",1960-01-01,47.55,15248256,1038.93209
"236","cod","Congo, Dem. Rep.","Africa",1965-01-01,48.26,17369882,1021.60849
"237","cod","Congo, Dem. Rep.","Africa",1970-01-01,49.62,20011033,1066.7699
"238","cod","Congo, Dem. Rep.","Africa",1975-01-01,50.87,22903587,1048.55096
"239","cod","Congo, Dem. Rep.","Africa",1980-01-01,52.13,26358905,844.5032
"240","cod","Congo, Dem. Rep.","Africa",1985-01-01,53.67,29881222,816.14035
"241","cod","Congo, Dem. Rep.","Africa",1990-01-01,54.27,34612023,702.13476
"242","cod","Congo, Dem. Rep.","Africa",1995-01-01,53.64,41576239,401.18551
"243","cod","Congo, Dem. Rep.","Africa",2000-01-01,53.93,47105830,289.9863
"244","cod","Congo, Dem. Rep.","Africa",2005-01-01,56.14,54785894,300.56247
"245","cod","Congo, Dem. Rep.","Africa",2010-01-01,58.78,64563853,334.02158
"246","cod","Congo, Dem. Rep.","Africa",2015-01-01,62.65,76244532,411.02064
"247","cod","Congo, Dem. Rep.","Africa",2019-01-01,65.05,86790568,423.64025
"248","cog","Congo, Rep.","Africa",1960-01-01,43.74,1018254,1562.45193
"249","cog","Congo, Rep.","Africa",1965-01-01,45.4,1155389,1621.35508
"250","cog","Congo, Rep.","Africa",1970-01-01,47.23,1326894,1799.04722
"251","cog","Congo, Rep.","Africa",1975-01-01,49.71,1536658,2287.12436
"252","cog","Congo, Rep.","Africa",1980-01-01,52.75,1777932,2495.46303
"253","cog","Congo, Rep.","Africa",1985-01-01,55.58,2054308,3513.2192
"254","cog","Congo, Rep.","Africa",1990-01-01,53.97,2356740,3013.57482
"255","cog","Congo, Rep.","Africa",1995-01-01,52.32,2707532,2681.99699
"256","cog","Congo, Rep.","Africa",2000-01-01,53.05,3127420,2616.1217
"257","cog","Congo, Rep.","Africa",2005-01-01,56.99,3622775,2755.9281
"258","cog","Congo, Rep.","Africa",2010-01-01,60.87,4273738,3073.55778
"259","cog","Congo, Rep.","Africa",2015-01-01,63.52,4856093,3106.34077
"260","cog","Congo, Rep.","Africa",2019-01-01,65.43,5380504,2283.31921
"261","col","Colombia","Americas",1960-01-01,59.26,16057714,2339.44453
"262","col","Colombia","Americas",1965-01-01,61.58,18725242,2524.70319
"263","col","Colombia","Americas",1970-01-01,65.93,21480064,2879.25126
"264","col","Colombia","Americas",1975-01-01,66.27,24065502,3385.72406
"265","col","Colombia","Americas",1980-01-01,68.92,26900508,3931.0345
"266","col","Colombia","Americas",1985-01-01,67.21,29951194,3945.61301
"267","col","Colombia","Americas",1990-01-01,71.45,33102569,4467.3946
"268","col","Colombia","Americas",1995-01-01,72.55,36421438,5055.20769
"269","col","Colombia","Americas",2000-01-01,74.23,39629965,4862.87605
"270","col","Colombia","Americas",2005-01-01,76.52,42647731,5404.12224
"271","col","Colombia","Americas",2010-01-01,77.89,45222699,6336.70947
"272","col","Colombia","Americas",2015-01-01,79.69,47520667,7580.27571
"273","col","Colombia","Americas",2019-01-01,80.19,50339443,7843.54342
"274","cri","Costa Rica","Americas",1960-01-01,65.35,1330787,2893.59088
"275","cri","Costa Rica","Americas",1965-01-01,65.49,1592834,3113.47975
"276","cri","Costa Rica","Americas",1970-01-01,67.04,1847394,3732.06315
"277","cri","Costa Rica","Americas",1975-01-01,71.6,2094186,4413.98831
"278","cri","Costa Rica","Americas",1980-01-01,74.68,2389973,4993.62361
"279","cri","Costa Rica","Americas",1985-01-01,75.71,2736719,4422.76003
"280","cri","Costa Rica","Americas",1990-01-01,76.94,3119436,4855.3116
"281","cri","Costa Rica","Americas",1995-01-01,76.53,3545524,5561.84386
"282","cri","Costa Rica","Americas",2000-01-01,77.9,3962369,6170.95344
"283","cri","Costa Rica","Americas",2005-01-01,79.44,4285504,6916.62994
"284","cri","Costa Rica","Americas",2010-01-01,79.51,4577371,8227.12749
"285","cri","Costa Rica","Americas",2015-01-01,80.2,4847805,9356.92132
"286","cri","Costa Rica","Americas",2019-01-01,80.07,5047561,10170.15918
"287","dnk","Denmark","Europe",1960-01-01,72.51,4581099,20537.54611
"288","dnk","Denmark","Europe",1965-01-01,72.66,4760461,25542.16964
"289","dnk","Denmark","Europe",1970-01-01,73.57,4931239,30541.92958
"290","dnk","Denmark","Europe",1975-01-01,74.24,5062731,32302.67137
"291","dnk","Denmark","Europe",1980-01-01,74.39,5123945,36378.20799
"292","dnk","Denmark","Europe",1985-01-01,74.82,5114250,41720.67164
"293","dnk","Denmark","Europe",1990-01-01,75.23,5141117,44569.01306
"294","dnk","Denmark","Europe",1995-01-01,75.6,5232709,49122.86915
"295","dnk","Denmark","Europe",2000-01-01,77.16,5341192,55850.63076
"296","dnk","Denmark","Europe",2005-01-01,78.34,5421701,58792.66044
"297","dnk","Denmark","Europe",2010-01-01,79.52,5554849,58041.39844
"298","dnk","Denmark","Europe",2015-01-01,80.99,5688695,60402.12964
"299","dnk","Denmark","Europe",2019-01-01,81.13,5771877,65867.00172
"300","dom","Dominican Republic","Americas",1960-01-01,61.92,3294222,1323.8167
"301","dom","Dominican Republic","Americas",1965-01-01,61.62,3877768,1279.62805
"302","dom","Dominican Republic","Americas",1970-01-01,64.88,4499722,1699.03077
"303","dom","Dominican Republic","Americas",1975-01-01,67.18,5144632,2289.69541
"304","dom","Dominican Republic","Americas",1980-01-01,69.25,5803929,2621.47857
"305","dom","Dominican Republic","Americas",1985-01-01,70.24,6464229,2588.24537
"306","dom","Dominican Republic","Americas",1990-01-01,71.97,7133491,2695.98018
"307","dom","Dominican Republic","Americas",1995-01-01,73.71,7819239,3214.7463
"308","dom","Dominican Republic","Americas",2000-01-01,73.66,8471317,4051.50097
"309","dom","Dominican Republic","Americas",2005-01-01,72.56,9097262,4472.70998
"310","dom","Dominican Republic","Americas",2010-01-01,73.5,9695117,5555.39201
"311","dom","Dominican Republic","Americas",2015-01-01,72,10281675,6661.86828
"312","dom","Dominican Republic","Americas",2019-01-01,73.19,10738957,8002.44242
"313","dza","Algeria","Africa",1960-01-01,52.38,11057864,2481.7516
"314","dza","Algeria","Africa",1965-01-01,56.8,12550880,2290.65013
"315","dza","Algeria","Africa",1970-01-01,56.23,14464992,2708.46405
"316","dza","Algeria","Africa",1975-01-01,56.87,16607706,3124.41167
"317","dza","Algeria","Africa",1980-01-01,58.73,19221659,3643.68945
"318","dza","Algeria","Africa",1985-01-01,64.7,22431507,3949.44343
"319","dza","Algeria","Africa",1990-01-01,67.48,25758872,3572.28991
"320","dza","Algeria","Africa",1995-01-01,69.04,28757788,3240.98096
"321","dza","Algeria","Africa",2000-01-01,70.96,31042238,3557.62853
"322","dza","Algeria","Africa",2005-01-01,72.94,33149720,4290.52025
"323","dza","Algeria","Africa",2010-01-01,74.48,35977451,4480.78744
"324","dza","Algeria","Africa",2015-01-01,75.44,39728020,4777.41479
"325","dza","Algeria","Africa",2019-01-01,76.2,43053054,4701.27974
"326","ecu","Ecuador","Americas",1960-01-01,56.1,4543658,2238.01338
"327","ecu","Ecuador","Americas",1965-01-01,59.75,5243980,2422.40965
"328","ecu","Ecuador","Americas",1970-01-01,61.35,6069375,2487.73369
"329","ecu","Ecuador","Americas",1975-01-01,64.09,6994331,3388.72211
"330","ecu","Ecuador","Americas",1980-01-01,67.01,7989178,3681.51716
"331","ecu","Ecuador","Americas",1985-01-01,69.88,9066100,3664.69627
"332","ecu","Ecuador","Americas",1990-01-01,71.95,10230931,3716.26679
"333","ecu","Ecuador","Americas",1995-01-01,73.63,11455205,3842.59614
"334","ecu","Ecuador","Americas",2000-01-01,74.46,12681123,3663.66378
"335","ecu","Ecuador","Americas",2005-01-01,73.61,13825839,4258.42408
"336","ecu","Ecuador","Americas",2010-01-01,74.27,15011114,4633.59128
"337","ecu","Ecuador","Americas",2015-01-01,75.88,16212022,5330.5385
"338","ecu","Ecuador","Americas",2019-01-01,76.38,17373657,5094.95017
"339","egy","Egypt","Africa",1960-01-01,46.87,26632891,578.59965
"340","egy","Egypt","Africa",1965-01-01,50.67,30433024,715.14078
"341","egy","Egypt","Africa",1970-01-01,51.25,34513851,730.42302
"342","egy","Egypt","Africa",1975-01-01,54.43,38549133,803.09897
"343","egy","Egypt","Africa",1980-01-01,58.48,43309063,1102.78863
"344","egy","Egypt","Africa",1985-01-01,60.12,49258726,1395.81635
"345","egy","Egypt","Africa",1990-01-01,63.92,56134478,1557.55019
"346","egy","Egypt","Africa",1995-01-01,66.38,62334025,1659.04537
"347","egy","Egypt","Africa",2000-01-01,68.54,68831561,1981.8307
"348","egy","Egypt","Africa",2005-01-01,68.78,75523576,2148.75514
"349","egy","Egypt","Africa",2010-01-01,69.44,82761244,2645.96876
"350","egy","Egypt","Africa",2015-01-01,69.92,92442549,2704.91971
"351","egy","Egypt","Africa",2019-01-01,70.97,100388076,3010.15283
"352","esp","Spain","Europe",1960-01-01,69.45,30402413,7375.7029
"353","esp","Spain","Europe",1965-01-01,70.94,32146255,10600.72443
"354","esp","Spain","Europe",1970-01-01,72.02,33883749,13571.91764
"355","esp","Spain","Europe",1975-01-01,73.59,35879210,16626.35259
"356","esp","Spain","Europe",1980-01-01,75.51,37698200,17477.86818
"357","esp","Spain","Europe",1985-01-01,76.45,38733866,18254.6802
"358","esp","Spain","Europe",1990-01-01,76.96,39202524,22512.76099
"359","esp","Spain","Europe",1995-01-01,78.09,39787413,23737.48436
"360","esp","Spain","Europe",2000-01-01,79.47,40824745,28408.80677
"361","esp","Spain","Europe",2005-01-01,80.58,44019118,31028.99677
"362","esp","Spain","Europe",2010-01-01,82.08,46931011,30502.71971
"363","esp","Spain","Europe",2015-01-01,82.78,46671919,30549.79181
"364","esp","Spain","Europe",2019-01-01,83.09,46736782,33352.32896
"365","fin","Finland","Europe",1960-01-01,69.22,4434593,12184.92425
"366","fin","Finland","Europe",1965-01-01,69.56,4568604,15000.85484
"367","fin","Finland","Europe",1970-01-01,70.66,4612365,18267.45802
"368","fin","Finland","Europe",1975-01-01,72.17,4718744,22144.8906
"369","fin","Finland","Europe",1980-01-01,74.01,4788247,25512.08532
"370","fin","Finland","Europe",1985-01-01,74.88,4911220,28643.2682
"371","fin","Finland","Europe",1990-01-01,75.43,4996220,33359.65483
"372","fin","Finland","Europe",1995-01-01,76.94,5119012,31901.70984
"373","fin","Finland","Europe",2000-01-01,78.04,5187953,40403.202
"374","fin","Finland","Europe",2005-01-01,79.32,5258933,45358.34306
"375","fin","Finland","Europe",2010-01-01,80.4,5365784,46459.97325
"376","fin","Finland","Europe",2015-01-01,81.68,5481128,45647.66859
"377","fin","Finland","Europe",2019-01-01,81.87,5532159,49310.45706
"378","fji","Fiji","Oceania",1960-01-01,64.6,393480,1773.7819
"379","fji","Fiji","Oceania",1965-01-01,65.57,463960,1751.08882
